path,class,risk,invariant,n_distinct,n_present,val_glider,val_ultralight,val_ga_single,val_jet,val_electric
"_blad/0/_geo_xyz/10,1,1",FLIGHT,,False,4,4,,-0.047050610,0.045409944,0.000166667,-0.110909328
"_blad/0/_geo_xyz/10,1,2",FLIGHT,,False,4,4,,-0.178516835,-0.069285184,-0.001833333,-0.271193951
"_blad/0/_geo_xyz/10,10,0",FLIGHT,,False,4,4,,1.250000000,1.649999857,0.050000325,3.257690430
"_blad/0/_geo_xyz/10,10,1",FLIGHT,,False,4,4,,0.034785621,-0.016548095,-0.000416667,0.061223425
"_blad/0/_geo_xyz/10,10,2",FLIGHT,,False,4,4,,-0.116599083,-0.008816071,0.000000000,0.040039897
"_blad/0/_geo_xyz/10,11,0",FLIGHT,,False,4,4,,1.250000000,1.649999857,0.050000258,3.257690430
"_blad/0/_geo_xyz/10,11,1",FLIGHT,,False,4,4,,0.009935688,0.013209735,-0.000333333,-0.005344860
"_blad/0/_geo_xyz/10,11,2",FLIGHT,,False,4,4,,-0.169835195,-0.056697141,-0.001250000,-0.251000404
"_blad/0/_geo_xyz/10,12,0",FLIGHT,,False,4,4,,1.250000000,1.649999857,0.050000127,3.257690430
"_blad/0/_geo_xyz/10,12,1",FLIGHT,,False,4,4,,-0.013614282,0.032171469,-0.000166667,-0.037808485
"_blad/0/_geo_xyz/10,12,2",FLIGHT,,False,4,4,,-0.191700190,-0.076338038,-0.001833333,-0.300882667
"_blad/0/_geo_xyz/10,13,0",FLIGHT,,False,4,4,,1.250000000,1.649999857,0.049999997,3.257690430
"_blad/0/_geo_xyz/10,13,1",FLIGHT,,False,4,4,,-0.033906177,0.044080351,0.000000000,-0.064882740
"_blad/0/_geo_xyz/10,13,2",FLIGHT,,False,4,4,,-0.196557045,-0.082740471,-0.002083333,-0.312680751
"_blad/0/_geo_xyz/10,14,0",FLIGHT,,False,1,4,,0.000000000,0.000000000,0.000000000,0.000000000
